pt,central,min,max,min_sc,max_sc,min_mass,max_mass,min_pdf,max_pdf,fr55,fr22,fr21,fr12,fr15,fr51
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.250,74509897.243,22341908.207,249145148.704,30596000.000,197960000.000,45774000.000,59953000.000,33512000.000,86391000.000,182540000.000,129320000.000,178630000.000,30596000.000,197960000.000,40054000.000
0.500,143824271.500,48085866.500,430226996.500,48965000.000,313860000.000,95988000.000,106210000.000,65994000.000,146420000.000,207570000.000,200460000.000,271020000.000,56353000.000,313860000.000,48965000.000
0.750,209657531.161,46876462.744,577064924.986,45188000.000,396770000.000,122010000.000,161440000.000,99780000.000,191920000.000,174670000.000,240510000.000,338600000.000,79444000.000,396770000.000,45188000.000
1.000,260903421.103,41103372.168,679069689.199,39307000.000,443570000.000,137170000.000,213270000.000,127380000.000,218650000.000,137000000.000,253420000.000,375830000.000,95921000.000,443570000.000,39307000.000
1.250,284933050.791,36327128.168,707872003.739,34309000.000,444400000.000,140770000.000,236700000.000,141550000.000,223190000.000,107500000.000,241990000.000,371830000.000,102730000.000,444400000.000,34309000.000
1.500,278997337.300,33872916.320,663037561.200,30846000.000,408290000.000,134590000.000,232240000.000,141620000.000,209720000.000,87267000.000,214690000.000,335720000.000,100610000.000,408290000.000,30846000.000
1.750,248564405.011,34565327.682,566124945.601,29964000.000,353390000.000,122150000.000,210440000.000,131720000.000,186100000.000,77392000.000,181440000.000,285260000.000,92584000.000,353390000.000,29964000.000
2.000,206209247.194,38603507.131,451358334.108,32302000.000,294600000.000,106940000.000,181630000.000,116770000.000,159140000.000,77723000.000,149110000.000,233990000.000,81770000.000,294600000.000,32302000.000
2.250,163614362.124,40926018.819,345241443.176,34533000.000,240240000.000,91441000.000,152310000.000,100400000.000,133050000.000,78524000.000,120790000.000,188390000.000,70359000.000,240240000.000,34533000.000
2.500,126204586.920,38806733.160,257530993.200,34261000.000,193640000.000,77045000.000,125680000.000,84735000.000,109830000.000,74330000.000,97247000.000,150410000.000,59591000.000,193640000.000,34261000.000
2.750,95598736.712,33852264.084,189226512.514,31974000.000,155300000.000,64366000.000,102860000.000,70753000.000,90085000.000,66745000.000,78175000.000,119760000.000,50020000.000,155300000.000,31974000.000
3.000,71015579.250,28090564.014,136721422.147,29010000.000,124420000.000,53534000.000,83904000.000,58745000.000,73718000.000,58535000.000,62939000.000,95451000.000,41793000.000,124420000.000,29010000.000
3.250,53197784.605,23044953.016,99861788.523,25873000.000,99828000.000,44440000.000,68414000.000,48648000.000,60324000.000,50644000.000,50843000.000,76328000.000,34851000.000,99828000.000,25873000.000
3.500,39764917.360,18572448.080,72927913.280,22784000.000,80302000.000,36885000.000,55851000.000,40264000.000,49435000.000,43407000.000,41254000.000,61313000.000,29056000.000,80302000.000,22784000.000
3.750,29753640.851,14817684.853,53414306.332,19912000.000,64830000.000,30650000.000,45701000.000,33350000.000,40612000.000,37026000.000,33648000.000,49521000.000,24247000.000,64830000.000,19912000.000
4.000,22866441.518,12041227.593,40244368.702,17322000.000,52566000.000,25530000.000,37504000.000,27679000.000,33472000.000,31498000.000,27586000.000,40218000.000,20275000.000,52566000.000,17322000.000
4.250,17531643.835,9693414.806,30290538.865,15024000.000,42823000.000,21331000.000,30886000.000,23036000.000,27693000.000,26766000.000,22737000.000,32848000.000,17000000.000,42823000.000,15024000.000
4.500,13504361.960,7788470.070,22930693.010,13006000.000,35066000.000,17888000.000,25538000.000,19236000.000,23011000.000,22747000.000,18844000.000,26988000.000,14300000.000,35066000.000,13006000.000
4.750,10691774.999,6402115.541,17864806.910,11260000.000,28875000.000,15061000.000,21216000.000,16128000.000,19211000.000,19359000.000,15700000.000,22299000.000,12075000.000,28875000.000,11260000.000
5.000,8524706.615,5278530.951,14029648.169,9758200.000,23908000.000,12732000.000,17708000.000,13577000.000,16114000.000,16508000.000,13144000.000,18523000.000,10237000.000,23908000.000,9758200.000
5.250,6919926.976,4415319.945,11227758.272,8466500.000,19898000.000,10807000.000,14850000.000,11477000.000,13578000.000,14108000.000,11058000.000,15466000.000,8712600.000,19898000.000,8466500.000
5.500,5658011.640,3707790.900,9056975.400,7354700.000,16644000.000,9209300.000,12511000.000,9740000.000,11493000.000,12086000.000,9347300.000,12978000.000,7443500.000,16644000.000,7354700.000
5.750,4724998.373,3163613.616,7468560.998,6382800.000,13992000.000,7877900.000,10588000.000,8298900.000,9770900.000,10380000.000,7937000.000,10944000.000,6382800.000,13992000.000,6399900.000
6.000,3985441.926,2693996.421,6225413.730,5492800.000,11818000.000,6763700.000,8999100.000,7097900.000,8340900.000,8939100.000,6768200.000,9272700.000,5492800.000,11818000.000,5579600.000
6.250,3345868.377,2282059.518,5168443.327,4743400.000,10027000.000,5827700.000,7680400.000,6092900.000,7148400.000,7718200.000,5795200.000,7890700.000,4743400.000,10027000.000,4874100.000
6.500,2876329.248,1978536.207,4396556.466,4110100.000,8544100.000,5038600.000,6580800.000,5248700.000,6149600.000,6681600.000,4981400.000,6742500.000,4110100.000,8544100.000,4266300.000
6.750,2469624.167,1712494.801,3737341.833,3573000.000,7309900.000,4370800.000,5659900.000,4537000.000,5309700.000,5799400.000,4298100.000,5784200.000,3573000.000,7309900.000,3741800.000
7.000,2109004.113,1473540.423,3161356.494,3115600.000,6278200.000,3803600.000,4885700.000,3934900.000,4600600.000,5047300.000,3722000.000,4981400.000,3115600.000,6278200.000,3288600.000
7.250,1852066.039,1303242.891,2751102.029,2724700.000,5412000.000,3320200.000,4232000.000,3423400.000,3999400.000,4403900.000,3234100.000,4306100.000,2724700.000,5412000.000,2896200.000
7.500,1643373.384,1164208.424,2420138.361,2389700.000,4681700.000,2906700.000,3678000.000,2987400.000,3487800.000,3851800.000,2819400.000,3735500.000,2389700.000,4681700.000,2555600.000
7.750,1423661.337,1015062.945,2079429.090,2101700.000,4063600.000,2551800.000,3206600.000,2614500.000,3050900.000,3376700.000,2465600.000,3251500.000,2101700.000,4063600.000,2259700.000
8.000,1271787.778,912381.729,1843184.041,1853400.000,3538600.000,2246300.000,2804000.000,2294500.000,2676600.000,2966600.000,2162500.000,2839300.000,1853400.000,3538600.000,2001900.000
8.250,1118597.203,807173.932,1609028.761,1638700.000,3091100.000,1982600.000,2459400.000,2019300.000,2354800.000,2612500.000,1902200.000,2487000.000,1638700.000,3091100.000,1777100.000
8.500,1009304.698,732370.903,1441363.259,1452500.000,2708300.000,1754500.000,2163400.000,1781900.000,2077600.000,2306500.000,1678000.000,2184900.000,1452500.000,2708300.000,1580800.000
8.750,883106.216,644173.014,1252498.290,1290600.000,2379800.000,1556400.000,1908400.000,1576600.000,1837800.000,2041300.000,1484200.000,1924900.000,1290600.000,2379800.000,1409000.000
9.000,782914.861,573910.049,1103092.447,1149400.000,2097000.000,1384000.000,1687900.000,1398300.000,1629900.000,1810700.000,1316100.000,1700400.000,1149400.000,2097000.000,1258300.000
9.250,712745.135,524969.093,998002.047,1025900.000,1852900.000,1233500.000,1496700.000,1243100.000,1449000.000,1609700.000,1170000.000,1506000.000,1025900.000,1852900.000,1125900.000
9.500,638392.644,472316.879,888661.296,917630.000,1641600.000,1101700.000,1330300.000,1107600.000,1291200.000,1434000.000,1042500.000,1337200.000,917630.000,1641600.000,1009400.000
9.750,570704.043,424055.855,790066.244,822510.000,1458100.000,986090.000,1185200.000,989020.000,1153100.000,1280100.000,931020.000,1190200.000,822510.000,1458100.000,906530.000
10.000,515174.245,384408.175,709512.082,738760.000,1298200.000,884390.000,1058400.000,885010.000,1032000.000,1145000.000,833270.000,1061700.000,738760.000,1298200.000,815710.000
10.250,466998.143,349854.743,639852.974,664850.000,1158400.000,794780.000,947150.000,793600.000,925630.000,1026300.000,747380.000,949270.000,664850.000,1158400.000,735340.000
10.500,427387.817,321405.332,582638.106,599470.000,1035800.000,715640.000,849450.000,713090.000,831900.000,921750.000,671710.000,850560.000,599470.000,1035800.000,664080.000
10.750,387679.549,292604.534,525933.491,541510.000,928060.000,645580.000,763400.000,641990.000,749130.000,829480.000,604890.000,763710.000,541510.000,928060.000,600750.000
11.000,343478.571,260142.033,463759.295,490020.000,833250.000,583430.000,687420.000,579060.000,675880.000,747840.000,545760.000,687120.000,490020.000,833250.000,544360.000
11.250,322468.306,245041.339,433405.638,444170.000,749620.000,528190.000,620180.000,523260.000,610900.000,675460.000,493310.000,619430.000,444170.000,749620.000,494060.000
11.500,283561.088,216155.955,379460.410,403270.000,675710.000,478980.000,560550.000,473660.000,553150.000,611140.000,446690.000,559480.000,403270.000,675710.000,449100.000
11.750,263518.214,201481.634,351193.485,366720.000,610280.000,435060.000,507560.000,429480.000,501710.000,553890.000,405160.000,506280.000,366720.000,610280.000,408860.000
12.000,249260.947,191127.170,330915.802,333990.000,552230.000,395800.000,460360.000,390070.000,455810.000,502810.000,368110.000,458970.000,333990.000,552230.000,372770.000
12.250,216977.952,166834.116,286975.205,304650.000,500540.000,360620.000,418250.000,354840.000,414780.000,457170.000,334980.000,416750.000,304650.000,500540.000,340370.000
12.500,204849.730,157932.628,269941.294,278300.000,454420.000,329060.000,380600.000,323280.000,378010.000,416310.000,305310.000,379000.000,278300.000,454420.000,311220.000
12.750,193726.802,149744.764,254375.399,254590.000,413200.000,300690.000,346880.000,294970.000,345020.000,379660.000,278680.000,345200.000,254590.000,413200.000,284960.000
13.000,171862.285,133180.929,224894.881,233220.000,376300.000,275140.000,316610.000,269520.000,315370.000,346730.000,254740.000,314880.000,233220.000,376300.000,261270.000
13.250,163911.933,127331.229,213770.215,213930.000,343210.000,252100.000,289410.000,246610.000,288670.000,317090.000,233190.000,287640.000,213930.000,343210.000,239850.000
13.500,149273.775,116232.338,194049.212,196490.000,313480.000,231300.000,264920.000,225950.000,264580.000,290380.000,213750.000,263120.000,196490.000,313480.000,220450.000
13.750,138719.237,108258.450,179775.348,180700.000,286740.000,212480.000,242830.000,207300.000,242830.000,266270.000,196190.000,241040.000,180700.000,286740.000,202870.000
14.000,127911.952,100039.654,165266.770,166380.000,262650.000,195430.000,222880.000,190430.000,223150.000,244470.000,180300.000,221100.000,166380.000,262650.000,186900.000
14.250,124730.317,97762.131,160701.011,153370.000,240920.000,179960.000,204830.000,175140.000,205320.000,224740.000,165910.000,203090.000,153370.000,240920.000,172380.000
14.500,108108.988,84897.824,138902.959,141540.000,221280.000,165910.000,188480.000,161280.000,189150.000,206840.000,152850.000,186800.000,141540.000,221280.000,159160.000
14.750,104297.748,82065.809,133662.757,130770.000,203490.000,153130.000,173640.000,148700.000,174450.000,190590.000,140980.000,172020.000,130770.000,203490.000,147120.000
15.000,93595.649,73785.950,119642.547,120950.000,187370.000,141500.000,160160.000,137240.000,161080.000,175820.000,130180.000,158600.000,120950.000,187370.000,136140.000
15.250,85679.503,67668.536,109246.649,111990.000,172720.000,130880.000,147900.000,126820.000,148890.000,162380.000,120350.000,146390.000,111990.000,172720.000,126100.000
15.500,81616.672,64581.736,103822.243,103800.000,159400.000,121190.000,136720.000,117310.000,137780.000,150120.000,111370.000,135270.000,103800.000,159400.000,116930.000
15.750,76223.855,60415.132,96736.480,96304.000,147280.000,112330.000,126530.000,108630.000,127630.000,138940.000,103180.000,125130.000,96304.000,147280.000,108530.000
16.000,68080.980,54053.264,86207.727,89439.000,136220.000,104230.000,117220.000,100690.000,118350.000,128720.000,95681.000,115870.000,89439.000,136220.000,100830.000
16.250,68210.950,54245.959,86183.099,83142.000,126130.000,96802.000,108710.000,93434.000,109860.000,119380.000,88818.000,107410.000,83142.000,126130.000,93763.000
16.500,61612.673,49072.468,77672.410,77360.000,116910.000,89992.000,100920.000,86784.000,102070.000,110820.000,82529.000,99672.000,77360.000,116910.000,87273.000
16.750,62240.799,49646.902,78305.158,72046.000,108470.000,83740.000,93779.000,80685.000,94928.000,102980.000,76759.000,92578.000,72046.000,108470.000,81304.000
17.000,54106.162,43220.448,67930.615,67156.000,100740.000,77994.000,87229.000,75087.000,88369.000,95780.000,71459.000,86073.000,67156.000,100740.000,75809.000
17.250,47376.285,37896.673,59357.869,62652.000,93652.000,72708.000,81214.000,69942.000,82338.000,89171.000,66586.000,80099.000,62652.000,93652.000,70745.000
17.500,47109.210,37731.823,58905.091,58500.000,87144.000,67841.000,75683.000,65211.000,76789.000,83094.000,62102.000,74609.000,58500.000,87144.000,66074.000
17.750,44703.356,35850.117,55788.962,54667.000,81162.000,63354.000,70592.000,60852.000,71675.000,77500.000,57969.000,69557.000,54667.000,81162.000,61760.000
18.000,40660.875,32648.003,50648.552,51126.000,75658.000,59209.000,65898.000,56830.000,66956.000,72340.000,54155.000,64903.000,51126.000,75658.000,57774.000
18.250,37688.839,30299.075,46862.855,47852.000,70588.000,55378.000,61566.000,53116.000,62596.000,67577.000,50632.000,60611.000,47852.000,70588.000,54087.000
18.500,34737.866,27960.888,43119.393,44822.000,65913.000,51833.000,57565.000,49682.000,58566.000,63176.000,47375.000,56649.000,44822.000,65913.000,50672.000
18.750,36853.231,29698.740,45669.613,42015.000,61598.000,48551.000,53865.000,46506.000,54836.000,59107.000,44360.000,52988.000,42015.000,61598.000,47508.000
19.000,31483.212,25400.640,38953.130,39413.000,57612.000,45510.000,50441.000,43565.000,51382.000,55341.000,41569.000,49603.000,39413.000,57612.000,44573.000
19.250,29462.366,23798.257,36397.374,36998.000,53926.000,42689.000,47270.000,40840.000,48181.000,51853.000,38981.000,46469.000,36998.000,53926.000,41849.000
19.500,28409.436,22972.718,35044.109,34754.000,50515.000,40071.000,44331.000,38312.000,45211.000,48619.000,36581.000,43565.000,34754.000,50515.000,39318.000
19.750,29422.368,23818.536,36241.814,32670.000,47355.000,37639.000,41605.000,35966.000,42454.000,45620.000,34352.000,40873.000,32670.000,47355.000,36964.000
20.000,24917.288,20193.554,30650.158,30730.000,44425.000,35379.000,39074.000,33788.000,39892.000,42835.000,32281.000,38374.000,30730.000,44425.000,34775.000
20.250,23796.520,19305.302,29232.427,28925.000,41706.000,33277.000,36722.000,31762.000,37510.000,40248.000,30356.000,36053.000,28925.000,41706.000,32735.000
20.500,22344.546,18145.944,27412.629,27243.000,39181.000,31320.000,34535.000,29879.000,35294.000,37843.000,28564.000,33896.000,27243.000,39181.000,30835.000
20.750,21034.783,17099.075,25771.346,25674.000,36834.000,29497.000,32500.000,28126.000,33231.000,35606.000,26896.000,31889.000,25674.000,36834.000,29063.000
21.000,19817.392,16124.774,24249.219,24211.000,34650.000,27798.000,30605.000,26492.000,31308.000,33523.000,25341.000,30020.000,24211.000,34650.000,27409.000
21.250,18680.747,15213.807,22828.596,22845.000,32617.000,26213.000,28840.000,24970.000,29515.000,31582.000,23891.000,28279.000,22845.000,32617.000,25864.000
21.500,17620.004,14362.882,21505.923,21568.000,30723.000,24734.000,27193.000,23551.000,27842.000,29773.000,22538.000,26655.000,21568.000,30723.000,24421.000
21.750,16629.840,13566.774,20272.332,20375.000,28957.000,23352.000,25656.000,22225.000,26279.000,28084.000,21274.000,25140.000,20375.000,28957.000,23071.000
22.000,15704.130,12822.777,19121.023,19258.000,27309.000,22060.000,24220.000,20986.000,24818.000,26506.000,20093.000,23725.000,19258.000,27309.000,21808.000
22.250,14838.079,12125.410,18046.516,18212.000,25771.000,20850.000,22878.000,19827.000,23452.000,25031.000,18988.000,22403.000,18212.000,25771.000,20625.000
22.500,14027.569,11472.614,17041.265,17233.000,24333.000,19718.000,21622.000,18742.000,22172.000,23651.000,17953.000,21166.000,17233.000,24333.000,19517.000
22.750,13269.174,10860.275,16101.842,16314.000,22989.000,18656.000,20446.000,17727.000,20974.000,22360.000,16984.000,20009.000,16314.000,22989.000,18478.000
23.000,12557.407,10286.336,15222.762,15453.000,21731.000,17662.000,19345.000,16775.000,19852.000,21150.000,16076.000,18926.000,15453.000,21731.000,17503.000
23.250,11890.897,9747.368,14399.910,14644.000,20553.000,16728.000,18313.000,15883.000,18798.000,20016.000,15224.000,17911.000,14644.000,20553.000,16588.000
23.500,11264.844,9241.314,13628.486,13885.000,19450.000,15852.000,17344.000,15046.000,17810.000,18953.000,14425.000,16959.000,13885.000,19450.000,15729.000
23.750,10677.876,8766.117,12905.062,13172.000,18415.000,15030.000,16436.000,14261.000,16883.000,17955.000,13674.000,16066.000,13172.000,18415.000,14922.000
24.000,10125.880,8319.034,12226.209,12501.000,17445.000,14257.000,15583.000,13523.000,16011.000,17019.000,12969.000,15228.000,12501.000,17445.000,14162.000
24.250,9606.797,7898.693,11589.185,11870.000,16534.000,13530.000,14781.000,12829.000,15192.000,16139.000,12306.000,14440.000,11870.000,16534.000,13448.000
24.500,9119.257,7503.039,10991.246,11276.000,15678.000,12846.000,14028.000,12177.000,14421.000,15312.000,11683.000,13700.000,11276.000,15678.000,12776.000
24.750,8660.517,7130.013,10428.963,10717.000,14874.000,12202.000,13319.000,11564.000,13696.000,14534.000,11096.000,13004.000,10717.000,14874.000,12143.000
25.000,8228.520,6779.203,9899.595,10190.000,14118.000,11596.000,12652.000,10986.000,13014.000,13803.000,10544.000,12350.000,10190.000,14118.000,11546.000
25.250,7821.208,6448.348,9401.770,9693.100,13407.000,11025.000,12023.000,10442.000,12370.000,13114.000,10024.000,11733.000,9693.100,13407.000,10984.000
25.500,7437.896,6136.282,8933.430,9224.600,12738.000,10487.000,11432.000,9929.600,11764.000,12465.000,9533.100,11153.000,9224.600,12738.000,10453.000
25.750,7076.527,5841.838,8491.833,8782.600,12107.000,9979.200,10874.000,9446.400,11193.000,11853.000,9070.500,10606.000,8782.600,12107.000,9952.800
26.000,6735.044,5563.920,8076.292,8365.200,11512.000,9500.100,10347.000,8990.600,10653.000,11277.000,8634.100,10090.000,8365.200,11512.000,9480.200
26.250,6413.034,5301.361,7683.381,7971.000,10952.000,9047.700,9850.700,8560.400,10144.000,10733.000,8222.100,9602.700,7971.000,10952.000,9033.600
26.500,6108.922,5053.134,7313.783,7598.200,10423.000,8620.300,9381.800,8154.200,9663.500,10220.000,7832.900,9143.200,7598.200,10423.000,8611.500
26.750,5821.541,4818.416,6964.071,7245.700,9924.000,8216.400,8938.900,7770.400,9209.200,9734.800,7465.100,8709.300,7245.700,9924.000,8212.100
27.000,5549.862,4596.314,6634.107,6912.100,9452.800,7834.500,8520.300,7407.600,8779.600,9276.600,7117.400,8299.300,6912.100,9452.800,7834.200
27.250,5292.927,4386.075,6322.315,6596.300,9007.600,7473.100,8124.500,7064.500,8373.400,8843.500,6788.600,7911.800,6596.300,9007.600,7476.400
27.500,5049.843,4187.014,6027.597,6297.300,8586.800,7131.200,7750.000,6739.800,7988.900,8433.900,6477.300,7545.300,6297.300,8586.800,7137.600
27.750,4819.718,3998.444,5748.855,6013.900,8188.900,6807.400,7395.600,6432.600,7625.000,8046.400,6182.700,7198.600,6013.900,8188.900,6816.600
28.000,4601.800,3819.748,5485.063,5745.400,7812.500,6500.700,7060.100,6141.600,7280.300,7679.500,5903.600,6870.300,5745.400,7812.500,6512.200
28.250,4395.264,3650.240,5235.396,5490.800,7456.200,6210.000,6742.200,5865.900,6953.700,7332.100,5639.200,6559.500,5490.800,7456.200,6223.700
28.500,4199.562,3489.510,4998.963,5249.200,7118.800,5934.400,6441.000,5604.600,6644.100,7002.900,5388.500,6265.000,5249.200,7118.800,5949.900
28.750,4013.941,3337.008,4774.942,5020.000,6799.100,5673.100,6155.400,5356.900,6350.500,6690.900,5150.800,5985.900,5020.000,6799.100,5690.100
29.000,3837.919,3192.254,4562.577,4802.400,6496.100,5425.100,5884.600,5121.900,6072.000,6395.100,4925.200,5721.300,4802.400,6496.100,5443.500
29.250,3670.811,3054.769,4361.184,4595.700,6208.900,5189.600,5627.600,4898.900,5807.700,6114.400,4711.200,5470.200,4595.700,6208.900,5209.300
29.500,3512.138,2924.142,4170.145,4399.400,5936.400,4966.100,5383.600,4687.200,5556.700,5848.000,4507.900,5231.900,4399.400,5936.400,4986.800
29.750,3361.488,2800.028,3988.844,4212.800,5677.800,4753.700,5151.900,4486.100,5318.300,5595.200,4314.800,5005.700,4212.800,5677.800,4775.300
30.000,3218.311,2682.018,3816.662,4035.400,5432.300,4551.900,4931.800,4295.000,5091.800,5355.000,4131.300,4790.900,4035.400,5432.300,4574.300
